Name	Description	Postpone	APT	Chocolatey	Homebrew	NPM	Pipx	WMIC	Env	PathLinux	PathMacOS	PathWindows
DotNet	.Net	0	^aspnetcore-.*, ^dotnet-.*		dotnet			Microsoft .NET 6.0.20 - Windows Server Hosting, Microsoft .NET Runtime - 6.0.20 (x64), Microsoft .NET Runtime - 6.0.20 (x86), Microsoft .NET SDK 7.0.306 (x64) from Visual Studio, Microsoft ASP.NET Core 6.0.20 - Shared Framework (x64), Microsoft ASP.NET Core 6.0.20 - Shared Framework (x86)		/usr/bin/dotnet, /usr/share/dotnet	$Env:HOME/.dotnet, /Users/runner/.dotnet, /usr/local/bin/dotnet	C:\Program Files (x86)\dotnet
EpicGames	Epic Games	0						Epic Games Launcher, Epic Online Services				C:\Program Files (x86)\Epic Games
Erlang	Erlang	0	esl-erlang		erlang, rebar3					/usr/local/bin/rebar3		
Firefox	Mozilla Firefox Browser	0	firefox		firefox			Mozilla Firefox (x64 en-US), Mozilla Maintenance Service		/usr/lib/firefox-addons, /usr/lib/firefox	/Applications/Firefox.app	
G++	GNU C++ compiler	0	^g\+\+.*							/usr/bin/g++*, /usr/bin/x86_64-linux-gnu-g++*		
GCC	GNU C compiler	0	gcc, ^gcc-.*		gcc					/usr/bin/gcc*, /usr/bin/x86_64-linux-gnu-gcc*, /usr/lib/gcc, /usr/share/gcc		
GeckoWebDriver	Gecko Web Driver	0			geckodriver				GECKOWEBDRIVER	/usr/local/share/gecko_driver	/usr/local/opt/geckodriver	C:\SeleniumWebDrivers\GeckoDriver
GFortran	GNU Fortran	0	^gfortran-.*, gfortran							/usr/bin/gfortran*, /usr/bin/x86_64-linux-gnu-gfortran*		
Go	Go	0			go					$Env:AGENT_TOOLSDIRECTORY/go, /opt/hostedtoolcache/go	$Env:AGENT_TOOLSDIRECTORY/go, /Users/runner/hostedtoolcache/go	$Env:AGENT_TOOLSDIRECTORY\go
GoogleChrome	Google Chrome Browser	0	google-chrome-stable		google-chrome			Google Chrome	CHROME_BIN	/opt/google/chrome, /usr/bin/google-chrome-stable, /usr/bin/google-chrome	/Applications/Google Chrome.app	
